TAB NAME: reels.csv>
index,GearID,Brand,Series,Model,SizeClass,Variant,Tier,GearRatio,RetrieveCmPerTurn,MaxDragKg,WeightG,LineCapacityIndex,Smoothness,Rigidity,WindingTorque,Response,DragStartup,WaterResistance,PriceJPY,PrimaryUse,Status
reel-0001,Shimara,NEXARA,1000S,1000,S,entry,5.2,64,3.1,163,0.21,66,61,60,62,74,56,6900,ライトゲーム,FICTIONAL_CONTENT
reel-0002,Shimara,NEXARA,1000HG,1000,HG,entry,6.0,79,3.1,167,0.24,66,61,60,62,74,56,7200,ライトゲーム,FICTIONAL_CONTENT
reel-0003,Shimara,NEXARA,2000S,2000,S,entry,5.2,71,4.1,178,0.26,66,61,60,62,74,56,7700,ライトゲーム,FICTIONAL_CONTENT
reel-0004,Shimara,NEXARA,2000HG,2000,HG,entry,6.0,86,4.1,182,0.3,66,61,60,62,74,56,8000,ライトゲーム,FICTIONAL_CONTENT
reel-0005,Shimara,NEXARA,2500S,2500,S,entry,5.2,78,5.2,203,0.28,66,61,60,62,74,56,8900,万能小〜中型,FICTIONAL_CONTENT
reel-0006,Shimara,NEXARA,2500,2500,STD,entry,5.2,78,5.2,207,0.32,66,61,60,62,74,56,8900,万能小〜中型,FICTIONAL_CONTENT
reel-0007,Shimara,NEXARA,2500HG,2500,HG,entry,6.0,95,5.2,207,0.32,66,61,60,62,74,56,9300,万能小〜中型,FICTIONAL_CONTENT
reel-0008,Shimara,NEXARA,3000,3000,STD,entry,5.2,85,7.2,227,0.34,66,61,60,62,74,56,10100,万能小〜中型,FICTIONAL_CONTENT
reel-0009,Shimara,NEXARA,3000HG,3000,HG,entry,6.0,104,7.2,227,0.34,66,61,60,62,74,56,10500,万能小〜中型,FICTIONAL_CONTENT
reel-0010,Shimara,NEXARA,3000XG,3000,XG,entry,6.4,111,7.2,227,0.34,66,61,59,67,74,56,10900,万能小〜中型,FICTIONAL_CONTENT
reel-0011,Shimara,NEXARA,4000,4000,STD,entry,5.2,99,10.3,257,0.38,66,61,60,62,74,56,12200,シーバス/サーフ,FICTIONAL_CONTENT
reel-0012,Shimara,NEXARA,4000HG,4000,HG,entry,6.0,121,10.3,257,0.38,66,61,60,62,74,56,12600,シーバス/サーフ,FICTIONAL_CONTENT
reel-0013,Shimara,NEXARA,4000XG,4000,XG,entry,6.4,129,10.3,257,0.38,66,61,59,67,74,56,13100,シーバス/サーフ,FICTIONAL_CONTENT
reel-0014,Shimara,NEXARA,5000,5000,STD,entry,5.2,104,12.4,288,0.4,66,61,60,62,74,56,14600,シーバス/サーフ,FICTIONAL_CONTENT
